bill_id,updated_at,chamber,session,subjects,created_at,id,state,title,type,introduced_date,last_action_date,passed_lower_date,passed_upper_date,signed_date,recent_action,billtext,
AB 288,15/9/14 23:43,lower,20132014,[],13/2/13 0:07,CAB00010557,ca,California Coastal Commission: meeting notices.,"[""bill"",""fiscal committee""]",11/2/13 0:00,2/9/14 0:00,27/1/14 0:00,19/8/14 0:00,null,Enrolled and presented to the Governor at 4 p.m.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB288,
SB 1132,2/9/14 19:29,upper,20132014,[],25/2/14 0:29,CAB00013755,ca,Oil and gas: well stimulation treatments.,"[""bill"",""fiscal committee"",""local program""]",20/2/14 0:00,29/5/14 0:00,null,null,null,Read third time. Refused passage. (Ayes 16. Noes 16. Page 3701.),http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140SB1132,
SB 395,8/2/14 0:21,upper,20132014,[],22/2/13 0:08,CAB00010933,ca,Hazardous waste: wells.,"[""bill"",""fiscal committee"",""local program""]",20/2/13 0:00,6/2/14 0:00,null,null,null,Died on file pursuant to Joint Rule 56.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140SB395,
AB 1301,5/2/14 0:25,lower,20132014,[],24/2/13 0:14,CAB00012046,ca,Oil and gas: hydraulic fracturing.,"[""bill"",""fiscal committee"",""local program""]",22/2/13 0:00,3/2/14 0:00,null,null,null,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB1301,
AB 649,5/2/14 0:25,lower,20132014,[],23/2/13 0:11,CAB00011239,ca,Oil and gas: hydraulic fracturing.,"[""bill"",""fiscal committee"",""local program""]",21/2/13 0:00,3/2/14 0:00,null,null,null,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB649,
AB 7,11/2/14 0:18,lower,20132014,[],21/12/12 4:07,CAB00009968,ca,Oil and gas: hydraulic fracturing.,"[""bill"",""fiscal committee"",""local program""]",3/12/12 0:00,3/2/14 0:00,null,null,null,Died on inactive file.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB7,
AB 982,5/2/14 0:25,lower,20132014,[],24/2/13 0:17,CAB00012235,ca,Oil and gas: hydraulic fracturing.,"[""bill"",""fiscal committee""]",22/2/13 0:00,3/2/14 0:00,null,null,null,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB982,
SB 4,6/2/14 0:20,upper,20132014,[],21/12/12 4:07,CAB00009905,ca,Oil and gas: well stimulation.,"[""bill"",""fiscal committee"",""local program""]",3/12/12 0:00,20/9/13 0:00,11/9/13 0:00,29/5/13 0:00,20/9/13 0:00,Chaptered by Secretary of State. Chapter 313 Statutes of 2013.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140SB4,
AB 1323,17/6/13 2:00,lower,20132014,[],24/2/13 0:14,CAB00012068,ca,Oil and gas: hydraulic fracturing.,"[""bill"",""fiscal committee"",""local program""]",22/2/13 0:00,30/5/13 0:00,null,null,null,Read third time. Refused passage. (Ayes 24. Noes 37. Page 1849.).,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201320140AB1323,
AB 1464,11/10/12 14:10,lower,20112012,[],31/1/12 19:25,CAB00007860,ca,2012-13 Budget.,"[""bill"",""appropriation"",""fiscal committee"",""urgency""]",10/1/12 0:00,27/8/12 0:00,22/3/12 0:00,15/6/12 0:00,27/6/12 0:00,Consideration of Governor item veto to inactive file on motion of Assembly Member Blummenfield.,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201120120AB1464,
