countyName,subCounty,date,title,url
Mendocino County,,6/27/2014,"The Mendocino County Community Bill of Rights Fracking and Water Use Initiative was placed on the November 4, 2014 ballot after the Community Rights Network of Mendocino County submitted the requisite number of signatures. The Bill would create harsh criminal penalties for fracking in Mendocino.",http://web.archive.org/web/20140716005100/http://www.crnofmc.org/ordinance.html
Santa Barbara County,,6/2013/2014,"The county Board of Directors elected to put Santa Barbara Fracking Ban Initiative on November 4, 2014 ballot. Ban would prohibit all forms of high intensity oil extraction including fracking, cyclic steam injection and acidization treatments.",http://www.indybay.org/uploads/2014/05/05/santa_barbara_county_fracking_ban_initiative.pdf
Butte County,,6/5/2014,"Frack Free Butte County submitted requisite number of signatures to get Butte County Fracking Ban Initiative onto the June, 2016 ballot. The initiative would ban land use involving fracking, acidization, and other well stimulation techniques, including the disposal of fracking byproducts within the County's boundaries.",http://www.frackfreebuttecounty.org/petition_language
Santa Cruz County,,5/20/2014,Unanimous vote by Board of Supervisors to ban fracking and other oil and gas development within County lines.,http://www.cafrackfacts.org/wp-content/uploads/2013/11/225318322-Santa-Cruz-County-Fracking-Ban.pdf
San Benito County,,5/6/2014,"The San Benito County Fracking Ban Initiative was placed on the November 4, 2014 ballot after San Benito Rising submitted the requisite number of signatures to the county elections office. The Initiative would ban fracking and all other high-intensity petroleum operations, including cyclic steam injection and acidization.",http://www.cafrackfacts.org/wp-content/uploads/2013/12/San-Benito-Ordinance.pdf
Monterey County,,4/30/2014,"The Monterey County Planning Commission recommended an ordinance to ban fracking for two years. The County Board of Supervisors are expected to vote on the ordinance in September, 2014.",http://www.co.monterey.ca.us/planning/cca/minutes/2014pc/PC043014M.pdf
Marin County,,8/1/2013,"Calls for immediate moratorium on fracking in California until state and federal legislation and regulation are put in place to guarantee public health and safety, mitigate the effects of climate change, allow government access and testing of chemicals used, anticipate emerging extractions technologies and require full disclosure and testing of sites.",http://gs.clientwebpreview.com/wp-content/uploads/2013/12/MarinCountyCA.pdf
Los Angeles County,Beverly Hills,5/7/2014,"Unanimously passed a ban on all fracking, acidization, and well-stimulation techniques used on any surface in the city. The ban includes stimulation techniques used from outside city limits to extract oil and gas from underneath the city.",http://www.cafrackfacts.org/wp-content/uploads/2013/11/BH_Ordinance.pdf
Los Angeles County,Compton,4/22/2014,The Compton City Council adopted an indefinite moratorium on fracking that bans fracking for any surface site in the city or from any site outside the city limits where the subsurface bottom hole is located in the city.,http://www.cafrackfacts.org/wp-content/uploads/2014/04/Compton-ORDINANCE-RE-moratorium-on-Fracking-and-other-oil-and-gas-well-stimulation-applications1111.pdf
Los Angeles County,Carson,3/18/2014,Unanimously passed a 45-day ban on all new drilling in response to Occidentals plans to bore 200 new wells.,http://www.cafrackfacts.org/wp-content/uploads/2013/11/carson-city-45.pdf
Los Angeles County,Los Angeles City,2/28/2014,Unanimously approved a motion asking for the City Attorney to draft an ordinance to prohibit fracking and acidizing in Los Angeles.,http://clkrep.lacity.org/onlinedocs/2013/13-1152_rpt_plum_2-25-14.PDF
San Francisco County,San Francisco Board of Supervisors,1/14/2014,Unanimously voted to urge California to halt all fracking.,http://www.cafrackfacts.org/wp-content/uploads/2014/01/SF-Supervisors-Resolution-.pdf
Los Angeles County,Los Angeles Community College District,3/1/2013,"Passed a resolution urging Gov. Brown, DOGGR and the California Legislature to place a moratorium on hydraulic fracturing and on the disposal of fracking wastewater by injection wells until DOGGR takes action to implement regulations protecting public health and safety and the environment.",http://www.cafrackfacts.org/wp-content/uploads/2013/12/LosAngelesCommunityCollegeDistrictCA.pdf
Los Angeles County,Santa Monica,11/27/2012,Passed a resolution urging DOGGR to place a moratorium on all hydraulic fracturing and encouraging the development of protective regulations.,http://www.smgov.net/departments/council/agendas/2012/20121127/s2012112703-D-1.htm
Los Angeles County,Rampart Village Neighborhood Council,10/1/12,Voted unanimously to support a resolution placing a moratorium on fracking and on the disposal of fracking wastewater.,http://www.cafrackfacts.org/wp-content/uploads/2013/12/RampartVillageCA.pdf
Los Angeles County,Mar Vista Community Council,7/1/12,Introduced a motion requesting drafting of a resolution calling for a moratorium on fracking. The motion has been referred to committee.,http://www.cafrackfacts.org/wp-content/uploads/2013/12/MarVistaCA.pdf
Los Angeles County,Culver City,7/1/2012,Passed a resolution urging DOGGR to place a ban on hydraulic fracturing.,http://www.cafrackfacts.org/wp-content/uploads/2013/12/CulverCityCA.pdf
Alameda County,Berkeley,5/1/2011,Passed a resolution in support of the Fracturing Responsibility and Awareness of Chemicals Act and the Bringing Reductions to Energy's Airborne Toxic Health Effects Act to repeal the fracking exemption to the Safe Drinking Water Act and require disclosure of chemicals used in fracking.,http://www.cafrackfacts.org/wp-content/uploads/2013/12/BerkeleyCA.pdf
