name,district,party,type
Joel Anderson,36,Republican,Senate
Jim Beall,15,Democrat,Senate
Tom Berryhill,14,Republican,Senate
Marty Block,39,Democrat,Senate
Ron Calderon,30,Democrat,Senate
Anthony Cannella,12,Republican,Senate
Ellen Corbett,34,Democrat,Senate
Kevin De León,22,Democrat,Senate
Mark DeSaulnier,7,Democrat,Senate
Noreen Evans,2,Democrat,Senate
Jean Fuller,18,Republican,Senate
Ted Gaines,1,Republican,Senate
Cathleen Galgiani,5,Democrat,Senate
Loni Hancock,9,Democrat,Senate
Ed Hernandez,24,Democrat,Senate
Jerry Hill,13,Democrat,Senate
Ben Hueso,40,Democrat,Senate
Bob Huff,29,Republican,Senate
Hannah-Beth Jackson,19,Democrat,Senate
Steve Knight,21,Republican,Senate
Ricardo Lara,33,Democrat,Senate
Mark Leno,11,Democrat,Senate
Ted Lieu,28,Democrat,Senate
Carol Liu,25,Democrat,Senate
Holly Mitchell,26,Democrat,Senate
William W Monning,17,Democrat,Senate
Mike Morrell,23,Republican,Senate
Jim Nielsen,4,Republican,Senate
Alex Padilla,20,Democrat,Senate
Fran Pavley,27,Democrat,Senate
Richard D. Roth,31,Democrat,Senate
Darrell Steinberg,6,Democrat,Senate
Norma Torres,32,Democrat,Senate
Andy Vidak,16,Republican,Senate
Mimi Walters,37,Republican,Senate
Lois Wolk,3,Democrat,Senate
Roderick Wright,35,Democrat,Senate
Mark Wyland,38,Republican,Senate
Leland Yee,8,Democrat,Senate
